id	question
251	"Para reduzir os efeitos da cigarrinha na pastagem	 é recomendável manejar o pasto mais alto ou mais baixo?"
252	Como controlar o sapé e o rabo-de-burro nas pastagens?
253	Que influência tem a calagem no controle de plantas invasoras?
254	Como as pastagens devem ser manejadas para minimizar os riscos de intoxicação dos animais com plantas tóxicas?
255	Como identificar uma planta tóxica no Cerrado?
256	O manejo da pastagem interfere na produção animal?
257	Que produção de leite se pode alcançar em pastagens tropicais?
258	É verdade que vacas alimentadas à sombra produzem mais leite?
259	O que são sistemas agrossilvipastoris?
260	Quais as vantagens de se introduzir árvores em pastagens?
261	Por que a arborização de pastagens pode aumentar a disponibilidade e a qualidade de forragem?
262	A arborização sempre resulta em benefícios para a pastagem?
263	Qual o espaçamento recomendado para se obter sombra moderada?
264	Quais características recomendam uma espécie arbórea para uso em sistemas agrossilvipastoris?
265	Quais as forrageiras herbáceas mais tolerantes ao sombreamento?
266	Quais espécies de árvores são recomendadas para arborizar pastagens em solos de baixa fertilidade?
267	Quais os principais pontos a serem considerados no preparo de uma boa silagem?
268	Quando o milho e o sorgo estão no “ponto” de corte para ensilar?
269	Quantas toneladas de silagem de milho e sorgo podem ser obtidas por hectare?
270	"Considerando que o milho deve ser ensilado com 30% a 35% de matéria seca	 como ensilar 800 toneladas?"
271	As consorciações milho/mucuna-preta e milho/soja podem ser recomendadas para a ensilagem?
272	"Pode-se plantar a leguminosa separada do milho e ensilálos juntos	 em camadas?"
273	Qual a época ideal para ensilar o capim-elefante?
274	Qual a percentagem recomendada de cana-de-açúcar em silagens mistas com o capim-elefante?
275	É recomendável utilizar ureia no momento da ensilagem de milho e sorgo?
276	Por que se recomenda diluir a ureia em água antes de colocá-la no silo?
277	Quais percentuais de polpa cítrica e de milho podem ser adicionados à ensilagem do capim-elefante?
278	Quais as vantagens da adição de sal comum às silagens?
279	Pode-se fazer silagem exclusivamente com cana-de-açúcar?
280	Qual a melhor silagem?
281	Depois de quantos dias do enchimento do silo pode-se usar a silagem?
282	"Depois do silo aberto	 por quanto tempo a silagem permanece em boas condições?"
283	"O silo	 cuja silagem não foi totalmente usada	 pode ser completado com novo material e novamente fechado?"
284	A entrada de ar no silo altera a qualidade da silagem?
285	Qual o melhor tipo de silo?
286	Quais as práticas importantes para a conservação da silagem em silos aéreos?
287	É verdade que os silos aéreos são mais indicados para armazenar forragens cortadas com baixo teor de umidade?
288	O que é fenação?
289	Quais gramíneas e leguminosas são mais indicadas para fenação?
4	Reprodução Luiz Sérgio de Almeida Camargo Ademir de Moraes Ferreira João Henrique Moreira Viana Wanderlei Ferreira de Sá Bruno Campos de Carvalho Lílian Tamy Iguma 290 O que é cio?
291	A repetição de cio é problema da vaca ou do rebanho?
292	"Por que algumas vacas dão cio	 são cobertas ou inseminadas	 mas não são fecundadas nem voltam a dar cio?"
293	Como avaliar a condição corporal da vaca?
294	"Existe algum segredo para a vaca dar cio mais cedo	 depois do parto?"
295	"Por que vacas em lactação e com bezerros mais ou menos da mesma idade	 recebendo a mesma alimentação	 podem apresentar diferenças no período entre parto e primeiro cio?"
296	"Como se explica “bezerro na barriga” de vaca magra	 se a vaca magra não dá cio?"
297	É normal a falta de cio por períodos prolongados?
298	Quanto tempo uma vaca demora a voltar ao cio depois do parto?
299	O que é exame andrológico?
300	Quais as recomendações para o uso de um touro na fazenda?
301	Quando o touro deve cobrir a vaca depois do parto?
302	Quantas cobrições devem ser feitas em cada cio?
303	Como saber se a vaca está gestante?
304	Qual a duração da gestação na vaca e qual o período ideal de lactação?
305	Por que vacas em gestação voltam a apresentar cio?
306	Qual o número de partos economicamente desejável na vida de uma vaca?
307	Quais os problemas provocados pelo excesso de peso em vacas gestantes?
308	O que é manejo pré-parto?
309	"Quais cuidados se deve ter com a vaca	 no momento do parto?"
310	Qual o melhor método para avaliar a eficiência reprodutiva?
311	A somatotropina interfere na reprodução da vaca?
312	A temperatura ambiente influencia a fertilidade da vaca?
313	Por que algumas vacas colocam a vagina/cérvix para fora?
314	O que pode provocar a retenção de placenta?
315	O que são cistos foliculares?
316	Partos problemáticos (distócicos) e retenção de placenta podem atrasar o aparecimento do cio pós-parto?
317	É verdade que a cria fêmea de nascimento de gêmeos é estéril?
318	Qual o melhor tratamento para infecções no útero (metrites)?
319	"Até que ponto os ectoparasitas (mosca-do-chifre	 carrapatos	 bernes	 etc.) podem afetar a reprodução?"
320	Quais as principais causas de abortos?
321	Podem-se usar hormônios para provocar o cio?
322	Como fazer para começar a utilizar inseminação artificial (IA) sem ter prejuízos?
323	O que é necessário para estabelecer um sistema de inseminação artificial?
324	Quanto tempo depois da identificação do cio deve ser feita a inseminação artificial?
325	Quais os cuidados que devem ser tomados com relação à conservação do sêmen congelado?
326	Com que idade as novilhas devem ser cobertas ou inseminadas?
327	Vacas que sempre foram inseminadas artificialmente podem ser enxertadas pelo touro?
328	O rufião é importante em um programa de inseminação artificial?
329	Quais cuidados devem ser tomados com o uso de rufiões?
330	A inseminação artificial reduz a taxa de gestação e de partos no rebanho?
331	O que é IATF?
332	Quais cuidados devem ser tomados ao se usar a IATF?
333	O que é sexagem espermática?
334	Por que a taxa de gestação é geralmente mais baixa com sêmen sexado?
335	O que é Produção de embriões in vivo e Produção in vitro de embriões?
336	Quais tipos de animais podem ser usados como receptores em um programa de transferência de embriões?
337	Por que embriões de Pive são mais difíceis de sobreviver após o congelamento?
338	Bezerros de embriões Pive podem nascer mais pesados?
339	O que é clonagem animal e para que serve?
340	O que é controle leiteiro?
341	Como melhorar a qualidade genética de um rebanho?
342	Quais as diferenças básicas de produção de leite entre animais zebu leiteiro e zebu padrão?
343	"Qual a situação do gir leiteiro e do guzerá leiteiro	 no Brasil?"
344	O que é raça Sindi?
345	"Como calcular o grau de sangue	 ou a composição genética	 de um animal?"
346	O que é heterose?
347	"Qual a melhor estratégia de cruzamento entre animais de origem europeia (E) e zebuínos (Z)	 nas condições de meio ambiente e manejo existentes no Brasil?"
348	Como manter o rebanho sempre F1 Europeu-Zebu?
349	Quais raças europeias e zebuínas podem ser utilizadas em cruzamentos para produção de leite?
350	Quais as vantagens do cruzamento entre animais das raças Holandês e Jersey?
351	Qual a diferença entre cruzar touro da raça Gir Leiteiro ou Guzerá dupla aptidão com vaca da raça Holandês e o cruzamento inverso?
352	A melhor opção para a produção de leite com animais mestiços é o uso de touros das raças Gir Leiteiro ou Guzerá dupla aptidão?
353	"Como melhorar um rebanho rústico	 sem gastar muito?"
354	Um reprodutor zebu leiteiro é indicado para cobrir vacas mestiças a fim de obter fêmeas leiteiras e machos para engorda?
355	Quais são as vantagens de se usar rebanho F1 Europeu x Zebu?
356	Como proceder para obter animais puros por cruza (PC) a partir de um rebanho de vacas mestiças?
357	"Quais os objetivos	 vantagens e desvantagens da produção e utilização de animais tricross para os sistemas de produção de leite do Brasil?"
358	Quais as vantagens e desvantagens do uso de touros da raça Jersey em vacas mestiças Holandês x Zebu (HZ)?
359	É aconselhável usar touros mestiços em rebanhos mestiços?
360	"O uso de reprodutores ½ EZ (F1)	 em vacas F1	 tem a mesma consequência genética do uso de reprodutores 5/8 EZ em vacas 5/8?"
361	"O grau de sangue	 ou composição genética	 tem influência na fertilidade do animal?"
362	"O que é Modelo Animal	 PTA	 DEP	 DP ou EBV?"
363	"Nos resultados de avaliação genética	 o que é confiabilidade	 repetibilidade da prova ou acurácia?"
364	Quais fatores influenciam a confiabilidade da PTA de um touro?
365	O que é TPI?
366	Quais as consequências para o rebanho do acasalamento entre parentes?
367	"Ao acasalar um touro mocho (por natureza) com vacas com chifres	 qual a percentagem de filhas com chifres?"
368	Qual a relação entre produção de leite e tipo leiteiro de uma vaca?
369	Quais características de tipo são mais importantes na seleção de gado de leite?
370	Quais parâmetros ou características são importantes para uma fêmea ter bom potencial genético de produção de leite?
371	O potencial de produção de leite da cria é transmitido por touro provado ou só pela vaca?
372	O que é mais importante para aumentar a produção de leite de um rebanho: o melhoramento genético ou a melhoria da alimentação?
373	"Para o melhoramento genético do rebanho	 é mais vantajoso o uso da monta natural ou da inseminação artificial?"
374	"O que é núcleo Moet de seleção ou de melhoramento genético	 e para que serve?"
375	Um touro com prova positiva para leite em um país pode ser negativo em outros países?
376	"Como melhorar geneticamente o teor de sólidos do leite	 especialmente gordura e proteína?"
377	O que é DNA?
378	O que são Organismos geneticamente modificados (OGM) ou organismos transgênicos?
379	O que é seleção genômica?
380	Quais agentes de doenças podem ser transmitidos aos bovinos pelos carrapatos?
381	O que é a tristeza parasitária bovina?
382	Quais as consequências de uma infestação por carrapatos sobre a produção de leite?
383	O que fazer para evitar grandes infestações por carrapatos?
384	"Se os carrapatos se acostumam com o carrapaticida	 como escolher o mais eficiente?"
385	"Além dos carrapaticidas	 há outros meios de se combater carrapatos?"
386	O que é controle estratégico de parasitas?
387	Existe um horário determinado para o carrapato se desprender dos animais?
388	Os carrapatos devem ser completamente eliminados da propriedade?
389	"Em relação à imunidade contra os agentes da tristeza parasitária bovina	 como proceder com bezerros criados em bezerreiros ou casinhas	 com acesso a piquetes somente após 60 a 90 dias de idade?"
390	Em que situações a premunição dos animais contra os agentes da tristeza parasitária bovina é indicada?
391	O controle do carrapato do cavalo é feito da mesma forma que o do carrapato do boi?
392	O carrapato dos equinos também pode parasitar os bovinos e transmitir agentes de doenças?
393	Carrapatos podem transmitir agentes de doenças aos seres humanos?
394	Como evitar que seres humanos adoeçam com febre maculosa?
395	Qual o melhor vermífugo?
396	Qual a época ideal para fazer a vermifugação de bovinos leiteiros?
397	É verdade que bovinos adultos têm resistência aos vermes?
398	A vermifugação das vacas faz aumentar a produção de leite?
399	O que é a fasciolose?
400	O que é eimeriose (ou coccidiose)?
401	Quais as principais moscas causadoras de prejuízos econômicos no meio rural?
402	Como realizar o controle das moscas do meio rural?
403	Qual a diferença entre bicheira e berne?
404	O que é cisticercose bovina?
405	O homem pode adquirir a cisticercose?
406	O que é salmonelose?
407	O que é colibacilose?
408	O que é pneumoenterite?
409	Qual a causa da vaca urinar sangue?
410	O que fazer em caso de bezerro com diarreia?
411	O que é brucelose?
412	O que é manqueira?
413	Quais as medidas para a prevenção da raiva?
414	Os bovinos podem ser acometidos por tuberculose?
7	Mastite e Qualidade do Leite Maria Aparecida Vasconcelos Paiva e Brito José Renaldi Feitosa Brito Letícia Caldas Mendonça 415 O que é mastite?
416	Quais os tipos de mastite?
417	Como detectar a mastite subclínica?
418	O que é Califórnia Mastite Teste (CMT)?
419	Qual o melhor teste ou método para detectar a mastite clínica?
420	O que são células somáticas?
421	Conhecer os microrganismos causadores da mastite ajuda no controle?
422	Como reduzir a mastite nos rebanhos?
423	O que é o programa de cinco pontos para o controle da mastite?
